,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
17,あの日見た花の名前を僕達はまだ知らない。（TVアニメ動画）,2011年春アニメ,4.2,https://img.anikore.jp/images/anime/8/2/4/2824/2824.jpg?width=122&height=122&type=crop,昔は仲良しだった幼馴染たち。でも、高校生になった彼らの距離はいつの間にか離れてしまっていた。ヒキコモリぎみの主人公“じんたん”。ギャル友達に流され気味の“あなる”。進学校に通う“ゆきあつ”と“つ... ▼もっと読む
18,君に届け（TVアニメ動画）,2009年秋アニメ,4.0,https://img.anikore.jp/51KyAWAWLrL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,"陰気な容姿のせいで霊感があると恐れられ、「貞子」というあだながついている黒沼爽子。
周囲に避けられることに慣れてしまっていた爽子は、わけへだてなく接してくれるサワヤカさ100%の少年、風早翔太... ▼もっと読む"
19,ちはやふる2（TVアニメ動画）,2013年冬アニメ,4.2,https://img.anikore.jp/images/anime/7/7/8/3778/3778.jpg?width=122&height=122&type=crop,春。瑞沢高校のかるた部5人は新入部員の獲得に励んでいた。しかし、入部届けを出しに来たのは太一目当てのかるた初心者の女子ばかり、中でも花野菫は太一に積極的な様子。千早はかるた強豪校になるためと言い... ▼もっと読む
20,Angel Beats！-エンジェルビーツ！（TVアニメ動画）,2010年春アニメ,4.2,https://img.anikore.jp/518jy9bz2CL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,森に囲まれた丘陵地にある、生徒総数2000名を越える全寮制のとある学園。一見するとごく普通の生徒らが生活を送っている学園だが、そこは死後の世界だった。現世で理不尽な人生を体験し、青春時代をまとも... ▼もっと読む
21,中二病でも恋がしたい！（TVアニメ動画）,2012年秋アニメ,4.0,https://img.anikore.jp/images/anime/8/4/8/3848/3848.jpg?width=122&height=122&type=crop,"高校1年生の富樫勇太は中学生時代、邪気眼系中二病を患っていた。
しかし、そんな黒歴史を中学とともに卒業し、高校ライフを満喫していた。勇太は周りには中二病だったことを隠していたがひょんなことから... ▼もっと読む"
22,ココロコネクト（TVアニメ動画）,2012年夏アニメ,4.0,https://img.anikore.jp/images/anime/5/0/0/3500/3500.jpg?width=122&height=122&type=crop,私立山星高校文化研究部内で次々と起こる実際ではあり得ない不思議な現象、＜ふうせんかずら＞による謎の企み、それにより主人公八重樫太一をはじめ永瀬、稲葉、桐山、青木の友情が成長していく。 ▼もっと読む
23,ちはやふる（TVアニメ動画）,2011年秋アニメ,4.2,https://img.anikore.jp/images/anime/2/3/1/3231/3231.jpg?width=122&height=122&type=crop,姉がモデルの日本一になることが夢であった小学6年生の綾瀬千早は、福井から来た転校生・綿谷新に「自分のことでないと夢にしてはいけない」と諭される。そんな新の夢は競技かるたで名人になり、日本一になる... ▼もっと読む
24,ガールズ&パンツァー（TVアニメ動画）,2012年秋アニメ,4.0,https://img.anikore.jp/images/anime/7/7/2/3772/3772.jpg?width=122&height=122&type=crop,『ガールズ＆パンツァー』は“美少女と戦車が織りなす、ひと夏のハートフル・タンク・ストーリー！”がキャッチフレーズのTVアニメーション。物語は戦車を使った武道「戦車道」が華道や茶道と並んで大和撫子... ▼もっと読む
25,僕らはみんな河合荘（TVアニメ動画）,2014年春アニメ,3.9,https://img.anikore.jp/images/anime/8/6/6/7866/7866.jpg?width=122&height=122&type=crop,親の転勤で「一人暮らし」をすることとなった男子高校生・宇佐は「河合荘」という賄い(食事)付の下宿に住むこととなった。そこには彼にとって憧れの先輩である女子高生・律も住んでおり、宇... ▼もっと読む
26,響け！ユーフォニアム2（TVアニメ動画）,2016年秋アニメ,4.2,https://img.anikore.jp/images/anime/6/6/8/10668/10668.jpg?width=122&height=122&type=crop,"吹奏楽コンクール京都府大会を突破した北宇治高校吹奏楽部は、強豪ひしめく関西大会に向けて練習を開始する。
臨時講師の先生も迎えて、レベルアップに勤しむ久美子たち。
しかし、そこへ昨年退部した傘... ▼もっと読む"
27,けいおん！！ 2期（TVアニメ動画）,2010年春アニメ,4.3,https://img.anikore.jp/5125dZbJFmL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,高校1年生の春に、軽音部に入学した楽器初心者の平沢唯。部長の田井中律、恥ずかしがり屋の秋山澪、おっとりした琴吹紬の3人とともに、普段の部室でのお茶を中心に、合宿、学園祭、クリスマスと楽しい日々を... ▼もっと読む
