,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
17,らきすた（TVアニメ動画）,2007年春アニメ,3.9,https://img.anikore.jp/51pAQVaDkfL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,そもそもは、連載を予定していた作品ではなく、コンプティークで急にページが空いてしまい、そこを埋めるために掲載したのが始まりだが、人気を博したため連載となった。タイトルは、“Lucky Star（... ▼もっと読む
18,オーバーロード[OVERLORD]（TVアニメ動画）,2015年夏アニメ,3.9,https://img.anikore.jp/images/anime/3/7/4/9374/9374.jpg?width=122&height=122&type=crop,"時は2138年。

仮想現実の中を自由に遊ぶことのできる体感型ゲーム全盛の時代に一大ブームを巻き起こしたオンラインゲーム《ユグドラシル》は静かにサービス終了を迎えるはずだった。

しかし... ▼もっと読む"
19,鬼灯の冷徹（TVアニメ動画）,2014年冬アニメ,3.8,https://img.anikore.jp/images/anime/7/3/7/7737/7737.jpg?width=122&height=122&type=crop,これは地獄のお話。戦後の人口爆発、悪霊の凶暴化、地獄に亡者があふれかえった今日、人手不足に喘ぐ地獄は前代未聞の混乱を極めていた。そんな中、あたふたする閻魔大王に代わって、さまざまな問題の後始末を... ▼もっと読む
20,エロマンガ先生（TVアニメ動画）,2017年春アニメ,3.7,https://img.anikore.jp/images/anime/5/1/3/10513/10513.jpg?width=122&height=122&type=crop,"高校生兼ライトノベル作家である主人公和泉正宗には、引きこもりの妹和泉紗霧がいる。一年前に二人は兄妹となったのだが、妹はまったく部屋から出てこないほど徹底した引きこもりである。

ある日和泉正... ▼もっと読む"
21,政宗くんのリベンジ（TVアニメ動画）,2017年冬アニメ,3.5,https://img.anikore.jp/images/anime/7/6/5/10765/10765.jpg?width=122&height=122&type=crop,美少女・安達垣愛姫（あだがき あき）にこっぴどくフラれたデブで冴えなかった少年・真壁政宗（まかべ まさむね）が、激ヤセして名字を変えイケメンに変身。残虐姫の異名を持つドSな愛姫を惚れさせ、最高の... ▼もっと読む
22,暗殺教室（第2期）（TVアニメ動画）,2016年冬アニメ,3.9,https://img.anikore.jp/images/anime/5/5/6/9556/9556.jpg?width=122&height=122&type=crop,南の島で鷹岡との戦いに勝利したE組の生徒達。殺せんせーはカップル成立を目論んで「肝試し」を企画！だが、いつしかE組全員でのイリーナと烏間をくっつける作戦に！？果たしてその結末は！？夏休みも終わり... ▼もっと読む
23,ユーリ！！！ on ICE（TVアニメ動画）,2016年秋アニメ,3.9,https://img.anikore.jp/images/anime/5/7/6/10576/10576.jpg?width=122&height=122&type=crop,"日本中の期待を背負って挑んだグランプリファイナルで惨敗…
故郷吸収に帰ることになったフィギュアスケーター勝生有利。

「現役続行と引退はハーフ ハーフ…」そんな気持ちで実家に引きこもってい... ▼もっと読む"
24,うしおととら（TVアニメ動画）,2015年夏アニメ,3.4,https://img.anikore.jp/images/anime/1/0/3/9103/9103.jpg?width=122&height=122&type=crop,"中学生の少年・蒼月潮は、寺の住職をつとめる父親と二人暮らし。

ある日、彼は自宅にある蔵の地下室でとんでもないものと出会ってしまう。

それははるか昔、凶悪なバケモノとして民に恐れられ、... ▼もっと読む"
25,干物妹！うまるちゃんR（TVアニメ動画）,2017年秋アニメ,3.7,https://img.anikore.jp/images/anime/2/8/8/11288/11288.jpg?width=122&height=122&type=crop,"外では､誰もがうらやむ才色兼備の「美妹」が､
家に帰れば､誰も知らないグータラ三昧の「干物妹」に…！？

グータラを極めた干物妹・うまるが､
コーラとポテイトを片手に､漫画やゲーム､アニ... ▼もっと読む"
26,からかい上手の高木さん（TVアニメ動画）,2018年冬アニメ,3.7,https://img.anikore.jp/images/anime/2/6/9/11269/11269.jpg?width=122&height=122&type=crop,コミックス累計250万部・”照れたら負け”のからかいラブコメディ 2018年1月放送スタート！ ▼もっと読む
