,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
16,機巧少女は傷つかない（TVアニメ動画）,2013年秋アニメ,3.6,https://img.anikore.jp/images/anime/6/2/5/7625/7625.jpg?width=122&height=122&type=crop,《機巧魔術(マキナート)》が隆盛を極めるイギリスのリヴァプール。日本からやってきた留学生・赤羽雷真(あかばねらいしん)は、美しき少女の姿をした《自動人形(... ▼もっと読む
17,終末なにしてますか？ 忙しいですか？ 救ってもらっていいですか？（TVアニメ動画）,2017年春アニメ,3.7,https://img.anikore.jp/images/anime/7/9/0/10790/10790.jpg?width=122&height=122&type=crop,《人間》は規格外の《獣》に蹂躙され、滅びた。たったひとり、数百年の眠りから覚めた青年ヴィレムを除いて。《人間》に代わり《獣》を倒しうるのは、《聖剣》（カリヨン）と、それを扱う妖精兵のみ。戦いのの... ▼もっと読む
18,ハイスクール・フリート (はいふり)（TVアニメ動画）,2016年春アニメ,3.5,https://img.anikore.jp/images/anime/1/0/2/10102/10102.jpg?width=122&height=122&type=crop,"多くの国土を水没によって失ってしまった日本。
海上交通の発達により、海の安全を守る「ブルーマーメイド」が
いつしか女生徒達の憧れの職業になっていった。

そんな「ブルーマーメイド」に憧れ... ▼もっと読む"
19,NEW GAME！！（TVアニメ動画）,2017年夏アニメ,3.9,https://img.anikore.jp/images/anime/0/8/3/11083/11083.jpg?width=122&height=122&type=crop,————かなえたい、夢がある！　「まんがタイムきららキャラット」にて連載中の大人気4コマ「NEW GAME!」のTVアニメの続編が待望の製作決定！　高校卒業後、ゲーム制作会社「イーグルジャンブ」... ▼もっと読む
20,うらら迷路帖（TVアニメ動画）,2017年冬アニメ,3.5,https://img.anikore.jp/images/anime/5/8/7/10587/10587.jpg?width=122&height=122&type=crop,"迷路町――そこは""うらら""と呼ばれる占師の町。
うららになることを目指して国中から少女たちが集まってくる中、
山育ちの女の子・千矢(ちや)もある思いを抱い... ▼もっと読む"
21,りゅうおうのおしごと！（TVアニメ動画）,2018年冬アニメ,3.6,https://img.anikore.jp/images/anime/4/1/1/11411/11411.jpg?width=122&height=122&type=crop,"玄関を開けるとJSがいた―

「やくそくどおり、弟子にしてもらいにきました！」

16歳にして将棋界の最強タイトル保持者『竜王』となった九頭竜八一の自宅に押しかけてきたのは、小学三年生の... ▼もっと読む"
22,僕は友達が少ない（TVアニメ動画）,2011年秋アニメ,3.9,https://img.anikore.jp/images/anime/2/4/5/3245/3245.jpg?width=122&height=122&type=crop,聖クロニカ学園（せいクロニカがくえん）高等部2年生の羽瀬川小鷹は、転校から1ヶ月経ってもその外見が原因で周囲にヤンキーと勘違いされ、クラスで浮いた存在であった。ある日、小鷹はいつも不機嫌そうにし... ▼もっと読む
23,這いよれ！ニャル子さん（TVアニメ動画）,2012年春アニメ,3.7,https://img.anikore.jp/images/anime/7/0/0/3700/3700.jpg?width=122&height=122&type=crop,高校生、八坂真尋はある日、夜道で怪物に襲われるも突如現れた謎の少女に救われる。その少女は、自身がクトゥルー神話に登場するニャルラトホテプそのものであると語り、また自身が宇宙人であること、真尋が他... ▼もっと読む
24,ラブライブ！school idol project（TVアニメ動画）,2013年冬アニメ,3.9,https://img.anikore.jp/images/anime/9/2/3/3923/3923.jpg?width=122&height=122&type=crop,進化し続ける最新カルチャーの街・秋葉原と、歴史と伝統の街・神田、そして静かな大人の本の街・神保町のあいだに、まるでエアポケットのようにポカリと空いた、人影もまばらなその街の中心に、古くからある伝... ▼もっと読む
25,パパのいうことを聞きなさい！（TVアニメ動画）,2012年冬アニメ,3.7,https://img.anikore.jp/images/anime/4/2/3/3423/3423.jpg?width=122&height=122&type=crop,主人公『瀬川祐太』は多摩文学院大学文学部国文科に合格し新生活をスタートさせたばかりの大学一年生である。小学生の頃に両親と死に別れ、当時高校生だった姉『祐理』に育てられるも、中学生の時にその姉がバ... ▼もっと読む
