,TITLE,SEASON,REVIEW_RANK,IMAGE,GAIYOU
15,ef - a tale of memories.エフ・アテールオブメモリーズ（TVアニメ動画）,2007年秋アニメ,4.0,https://img.anikore.jp/images/anime/1/0/9/1109/1109.jpg?width=122&height=122&type=crop,"広野紘と新藤景は幼馴染の間柄。紘はクリスマスの夜、景のパーティーに呼ばれていたが、ふとしたキッカケで宮村みやこと遭遇し、紘はマイペースなみやこに振り回されるはめに。
紘のクラスメイトで映研部員... ▼もっと読む"
16,とらドラ！（TVアニメ動画）,2008年秋アニメ,4.2,https://img.anikore.jp/images/anime/2/3/2/1232/1232.jpg?width=122&height=122&type=crop,その目つきの鋭さ故、不良に見られてしまうことを気にしている高須竜児は高校2年に進級し、以前から好意を寄せていた櫛枝実乃梨と同じクラスになることができた。一方で、新しいクラスメイトの間にはびこる「... ▼もっと読む
17,CLANNAD [クラナド]（TVアニメ動画）,2007年秋アニメ,4.1,https://img.anikore.jp/images/anime/1/0/4/1104/1104.jpg?width=122&height=122&type=crop,"進学校に通う高校3年生の岡崎朋也は、無気力な毎日を送っている。毎日同じことの繰り返し。
周りのみんなのように学校生活を楽しむこともできず、毎日遅刻ばかり。
そのためか、校内では浮いた存在にな... ▼もっと読む"
18,花咲くいろは（TVアニメ動画）,2011年春アニメ,4.1,https://img.anikore.jp/images/anime/4/1/4/2414/2414.jpg?width=122&height=122&type=crop,突然の夜逃げ、突然の告白、そして突然の別れ――。今までとは違う自分になりたかったという夢は、急に現実となりました。私、松前緒花の平凡な日常は1日にしてドラマチックな展開を迎えたのです。通い慣れた... ▼もっと読む
19,境界の彼方（TVアニメ動画）,2013年秋アニメ,3.9,https://img.anikore.jp/images/anime/6/5/1/7651/7651.jpg?width=122&height=122&type=crop,神原秋人はある日の放課後、屋上から飛び降りそうな少女・栗山未来と出会う。未来は、異界士の中でも特異な呪われた血を持つ一族の最後の生き残りだった。たった一人生き残った少女と、半妖である秋人が出会っ... ▼もっと読む
20,うたわれるもの（TVアニメ動画）,2006年春アニメ,3.9,https://img.anikore.jp/51-FyeQjQiL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon,"ここではないどこか、今ではないいつか。
時は戦国時代。国は分かれ争い、民草が飢え苦しむ時代。ある山奥ののどかな辺境の村に、瀕死の怪我を負った男が運び込まれた。
彼は村人に助けられる以前の全て... ▼もっと読む"
21,フルーツバスケット（TVアニメ動画）,2001年夏アニメ,3.9,https://img.anikore.jp/images/anime/3/8/3/383/383.jpg?width=122&height=122&type=crop,"わけあってテントで一人暮らしをしていた元気な女子高生・主人公「本田透」は、ひょんな事から同級生にして、全女子生徒のアイドル、草摩由希の家に住み込むことになる。
由希と保護者役の草摩紫呉が暮らす... ▼もっと読む"
22,3月のライオン（TVアニメ動画）,2016年秋アニメ,3.8,https://img.anikore.jp/images/anime/1/4/7/10147/10147.jpg?width=122&height=122&type=crop,主人公は、東京の下町に1人で暮らす17歳の将棋のプロ棋士・桐山零。深い孤独を抱える彼が、あかり・ひなた・モモの川本3姉妹と過ごす時間や、さまざまな棋士との対戦を経て、失ったものを少しずつ取り戻し... ▼もっと読む
23,planetarian ～ちいさなほしのゆめ～（Webアニメ）,2016年7月7日,3.8,https://img.anikore.jp/images/anime/6/0/3/10603/10603.jpg?width=122&height=122&type=crop,Keyが贈る珠玉のSF感動作 ▼もっと読む
24,僕のヒーローアカデミア（第2期）（TVアニメ動画）,2017年春アニメ,3.8,https://img.anikore.jp/images/anime/7/7/1/10771/10771.jpg?width=122&height=122&type=crop,ある事件をきっかけにNo.1ヒーローのオールマイトと出会った“無個性”の少年・緑谷出久は、その内に秘めるヒーローの資質を見出され、オールマイトから“個性”ワン・フォー・オールを受け継いだ。出久は... ▼もっと読む
25,このはな綺譚（TVアニメ動画）,2017年秋アニメ,3.8,https://img.anikore.jp/images/anime/1/5/6/11156/11156.jpg?width=122&height=122&type=crop,"あの世とこの世の間にある宿場町に建つ「此花亭」。
ここは神様に仕える狐っ娘たちが働く温泉宿。
期待と緊張で胸をふくらませ「此花亭」へ奉公にやってきた柚。
個性的な先輩たちに迎えられ、仲居修... ▼もっと読む"
26,学園ベビーシッターズ（TVアニメ動画）,2018年冬アニメ,3.6,https://img.anikore.jp/images/anime/4/9/0/11490/11490.jpg?width=122&height=122&type=crop,両親を飛行機事故で亡くした竜一＆虎太郎兄弟。そんな二人を引き取ったのが、同じ事故で息子夫婦を亡くした森ノ宮学園の理事長だった。でもその条件は、学園内に設けられた保育ルームで竜一がベビーシッターを... ▼もっと読む
27,凪のあすから（TVアニメ動画）,2013年秋アニメ,4.2,https://img.anikore.jp/images/anime/9/1/9/3919/3919.jpg?width=122&height=122&type=crop,海と地上、そのどちらにも人が暮らす世界。中学が廃校になり、幼なじみと共に地上の学校へ通うことになった海村の少年・先島光が転校初日目撃したのは、大切に守ってきた少女まなかが、地上の少年と特別な出会... ▼もっと読む
28,ココロコネクト（TVアニメ動画）,2012年夏アニメ,4.0,https://img.anikore.jp/images/anime/5/0/0/3500/3500.jpg?width=122&height=122&type=crop,私立山星高校文化研究部内で次々と起こる実際ではあり得ない不思議な現象、＜ふうせんかずら＞による謎の企み、それにより主人公八重樫太一をはじめ永瀬、稲葉、桐山、青木の友情が成長していく。 ▼もっと読む
