,TITLE,SEASON,REVIEW_RANK,IMAGE
37,ARIA The NATURAL[アリアザナチュラル]（TVアニメ動画）,2006年春アニメ,4.2,https://img.anikore.jp/images/anime/8/5/3/853/853.jpg?width=122&height=122&type=crop
38,終末なにしてますか？ 忙しいですか？ 救ってもらっていいですか？（TVアニメ動画）,2017年春アニメ,3.7,https://img.anikore.jp/images/anime/7/9/0/10790/10790.jpg?width=122&height=122&type=crop
39,リトルウィッチアカデミア（TVアニメ動画）,2017年冬アニメ,3.9,https://img.anikore.jp/images/anime/7/6/9/10769/10769.jpg?width=122&height=122&type=crop
40,未来少年コナン（TVアニメ動画）,1978年春アニメ,4.0,https://img.anikore.jp/515TP7E1E9L.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
41,うどんの国の金色毛鞠（TVアニメ動画）,2016年秋アニメ,3.5,https://img.anikore.jp/images/anime/4/3/1/10431/10431.jpg?width=122&height=122&type=crop
42,機動戦士ガンダム 鉄血のオルフェンズ Ⅱ（TVアニメ動画）,2016年秋アニメ,3.5,https://img.anikore.jp/images/anime/5/8/3/10583/10583.jpg?width=122&height=122&type=crop
43,ボールルームへようこそ（TVアニメ動画）,2017年夏アニメ,3.9,https://img.anikore.jp/images/anime/0/3/7/11037/11037.jpg?width=122&height=122&type=crop
44,ロミオの青い空（TVアニメ動画）,1995年冬アニメ,4.0,https://img.anikore.jp/51YXiQreziL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
45,ラブライブ！サンシャイン！！ 2nd Season（TVアニメ動画）,2017年秋アニメ,3.5,https://img.anikore.jp/images/anime/1/1/1/11111/11111.jpg?width=122&height=122&type=crop
46,宇宙戦艦ヤマト（TVアニメ動画）,1974年秋アニメ,3.8,https://img.anikore.jp/41CbS5u7niL.jpg._AA240_.jpg?width=122&height=122&type=crop&category=amazon
47,ALETTA～人を愛した天使～（その他）,2015年3月3日,3.5,https://img.anikore.jp/images/anime/6/9/6/11696/11696.jpg?width=122&height=122&type=crop
48,ココロコネクト（TVアニメ動画）,2012年夏アニメ,4.0,https://img.anikore.jp/images/anime/5/0/0/3500/3500.jpg?width=122&height=122&type=crop
